S/N,Name of Organisation,Type,UEN,IPC Period,Sector,Classification,Activities
47,Breastfeeding Mothers' Support Group (Singapore),Registered with IPC,S91SS0021J,From 08/12/2022 to 07/12/2023,Health,Others,"Public awareness, promotion & advisory"
48,Buddha Dhamma Mandala Society,Registered,S87SS0016L,Not Applicable,Religious,Buddhism,"Public awareness, promotion & advisory"
49,Buddhist Enlightenment Haven,Registered,S92SS0077D,Not Applicable,Religious,Buddhism,"Direct Services Public awareness, promotion & advisory"
50,Budhi Meditation Buddhist Association,Registered,S92SS0034G,Not Applicable,Religious,Buddhism,"Direct Services Financial assistance, bursaries & scholarships Training & education"
51,BUKIT PANJANG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered,S86CC0367E,Not Applicable,Community,North West,"Financial assistance, bursaries & scholarships"
52,BUKIT TIMAH CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S91CC0825C,From 01/1/2021 to 31/12/2023,Community,North West,"Direct Services Financial assistance, bursaries & scholarships"
53,BUONA VISTA CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S91CC0827F,From 01/4/2021 to 31/3/2024,Community,Central,"Financial assistance, bursaries & scholarships"
54,CAMBRIDGE COLLEGES SCHOLARSHIPS (SINGAPORE) LTD.,Registered with IPC,202024946W,From 17/2/2023 to 16/2/2026,Education,Foreign Educational Institutions/Funds,"Financial assistance, bursaries & scholarships"
55,CAMPVISION LTD.,Registered,201606103K,Not Applicable,Others,Children/Youth,Training & education
56,CANBERRA CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered,T03CC1718F,Not Applicable,Community,North West,"Financial assistance, bursaries & scholarships"
57,CANCER WELLNESS LIMITED,Registered,201306807E,Not Applicable,Health,Diseases/Illnessess Support Group,"Direct Services Financial assistance, bursaries & scholarships Training & education"
58,CANOSSA MISSION SINGAPORE,Registered with IPC,201020087W,From 02/11/2021 to 01/11/2023,Social and Welfare,Children/Youth,Training & education
59,CAREERCONSORTIA LIMITED,Registered,202040991W,Not Applicable,Social and Welfare,"Community,Support Groups","Direct Services Research Financial assistance, bursaries & scholarships Supports other Charities Training & education Public awareness, promotion & advisory"
60,Caregivers' Association of the Mentally-ill (CAMI),Registered,T05SS0189F,Not Applicable,Social and Welfare,"Disability (Adult),Disability (Children),Eldercare,Family,Support Groups","Public awareness, promotion & advisory Supports other Charities Training & education"
61,Caring for Cambodia Fund,Registered,T08CC2141J,Not Applicable,Others,General Charitable Purposes,Training & education
62,CARLO CATHOLIC SERVICES LTD.,Registered,201918337D,Not Applicable,Religious,Christianity,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships"
63,CARMEL COMMUNITY SERVICES LTD.,Registered,201230606W,Not Applicable,Social and Welfare,"Children/Youth,Eldercare,Family","Public awareness, promotion & advisory Training & education"
64,CASHEW CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T07CC2006F,From 01/1/2021 to 31/12/2023,Community,North West,"Financial assistance, bursaries & scholarships"
65,CATHOLIC FAMILY LIFE LIMITED,Registered,202008017H,Not Applicable,Religious,Christianity,Direct Services Training & education
66,Catholic Prayer Society,Registered,S95SS0036C,Not Applicable,Religious,Christianity,
67,CENTER FOR LIFE ENRICHMENT LTD,Registered,198300183W,Not Applicable,Religious,Christianity,
68,CENTRAL SIKH GURDWARA BOARD,Exempt Charity,T09CC0002F,Not Applicable,Religious,Others,
69,Centre for a Responsible Future,Registered,S99SS0065J,Not Applicable,Others,"Animal Welfare,Environment","Public awareness, promotion & advisory Training & education"
70,CHANGE COMMUNITY SERVICES LIMITED,Registered,201003883D,Not Applicable,Social and Welfare,"Children/Youth,Community,Family",Direct Services
71,Change Our World,Registered,T03SS0224K,Not Applicable,Social and Welfare,Community,Direct Services
72,CHANGI SIMEI CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T02CC1598D,From 01/1/2022 to 31/12/2024,Community,South East,"Financial assistance, bursaries & scholarships Training & education"
73,Channel Marker Evangelism Church,Registered,T01SS0190E,Not Applicable,Religious,Christianity,Supports other Charities
74,Charitable Assistance Society,Registered,S96SS0068D,Not Applicable,Social and Welfare,Community,
75,"Chartered Institute of Logistics and Transport, Singapore, The",Registered,S72SS0011C,Not Applicable,Others,General Charitable Purposes,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education Research"
76,Chee Hia Kog Moral Society,Registered,T03SS0054K,Not Applicable,Religious,Buddhism,
77,Chee Tong Temple,Registered,S72SS0005D,Not Applicable,Religious,Taoism,Direct Services
78,Cheng Kak Si,Registered,S99SS0003J,Not Applicable,Religious,Buddhism,Direct Services
79,Cheo Teik Temple,Registered,S97SS0113F,Not Applicable,Religious,Taoism,
80,CHEOW LENG BEO TEMPLE,Registered,S75SS0012C,Not Applicable,Religious,Taoism,
81,CHERN NAM KONG SIEW TEMPLE,Registered,S88SS0047E,Not Applicable,Religious,Taoism,"Direct Services Financial assistance, bursaries & scholarships Supports other Charities"
82,CHEW HUA SENG FOUNDATION LIMITED,Registered,200721080W,Not Applicable,Others,General Charitable Purposes,"Financial assistance, bursaries & scholarships"
83,Chiam See Tong Sports Fund,Registered,T17SS0038G,Not Applicable,Others,Children/Youth,"Direct Services Grantmaking Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
84,"CHILDCARE AND CHILDREN FUND,THE",Registered,S93CC0953E,Not Applicable,Social and Welfare,Support Groups,Direct Services
85,Children of Mother Earth Society (Singapore),Registered,T02SS0006E,Not Applicable,Others,"Children/Youth,General Charitable Purposes",Training & education
86,Chin Fook Meow,Registered,S85SS0042K,Not Applicable,Religious,Taoism,Direct Services
87,Chin Khong Kow Poon Guan San Toh Tong,Registered,S99SS0091G,Not Applicable,Religious,Taoism,Direct Services
88,Chin Long Kong Temple,Registered,S94SS0122L,Not Applicable,Religious,Taoism,Direct Services
