S/N,Name of Organisation,Type,UEN,IPC Period,Sector,Classification,Activities
208,Hock Leng Keng Temple,Registered,S92SS0014H,Not Applicable,Religious,Taoism,
209,Hong San Si Temple Society,Registered,S84SS0007J,Not Applicable,Religious,"Buddhism,Taoism",Direct Services
210,Hoo Leong Keong Temple,Registered,S87SS0005K,Not Applicable,Religious,Taoism,
211,Hoon Hong Tian Haw Boo (Yun Feng Tian Hou Miao),Registered,S87SS0113C,Not Applicable,Religious,Taoism,Direct Services
212,HOON LENG YIE (TEMPLE) LTD,Registered,198403069R,Not Applicable,Religious,Taoism,Direct Services
213,"Hoon Sian Keng Temple, The",Registered,S50SS0001D,Not Applicable,Religious,Buddhism,"Public awareness, promotion & advisory Supports other Charities"
214,HOUGANG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T04CC1802K,From 01/1/2021 to 31/12/2023,Community,North East,"Financial assistance, bursaries & scholarships"
215,HOUGANG CONSTITUENCY EDUCATION TRUST,Registered,S93CC0976C,Not Applicable,Education,Foundations & Trusts,"Financial assistance, bursaries & scholarships"
216,"House of Prayer, The",Registered,S88SS0110J,Not Applicable,Religious,Christianity,
217,House of the Lord Church,Registered,S98SS0094A,Not Applicable,Religious,Christianity,Direct Services
218,Hua Teck Siang Tng,Registered,S93SS0001J,Not Applicable,Religious,Buddhism,Direct Services
219,HUG COMMUNITY SERVICES LIMITED,Registered with IPC,201430532E,From 26/12/2022 to 25/9/2023,Social and Welfare,"Children/Youth,Community,Family","Direct Services Public awareness, promotion & advisory Training & education"
220,HUMAN GENOME ORGANISATION (HUGO) INTERNATIONAL LTD.,Deregistered,200802484D,Not Applicable,Others,Think Tanks,Training & education
221,Human HeartS,Registered,T04SS0135C,Not Applicable,Social and Welfare,Community,Training & education
222,HUMPHREY OEI FOUNDATION LIMITED,Registered,200503047M,Not Applicable,Others,General Charitable Purposes,
223,Huria Kristen Batak Protestant (Batak Christian Protestant) Singapore,Registered,S61SS0070G,Not Applicable,Religious,Christianity,
224,Hwa Kwang Tai Tee Temple,Registered,S85SS0073K,Not Applicable,Religious,Taoism,Direct Services
225,HYFY LIMITED,Registered,201423780G,Not Applicable,Others,Children/Youth,"Direct Services Public awareness, promotion & advisory Supports other Charities Training & education Research"
226,IC@RE HUB LTD.,Registered with IPC,201307803W,From 01/10/2021 to 30/6/2024,Social and Welfare,Community,Direct Services
227,In Him Church,Registered,T02SS0043D,Not Applicable,Religious,Christianity,
228,INTERNATIONAL CHINESE CULTURE EXCHANGE FEDERATION LIMITED,Registered,201728493C,Not Applicable,Arts and Heritage,Historical & Cultural Conservation,"Public awareness, promotion & advisory"
229,INTERNATIONAL CHURCH OF THE FOURSQUARE GOSPEL (SINGAPORE) LTD.,Registered,198304234E,Not Applicable,Religious,Christianity,
230,International College of Surgeons (Singapore Section),Registered,S93SS0028B,Not Applicable,Health,,Training & education
231,INTERNATIONAL RICE RESEARCH INSTITUTE FUND LTD.,Registered,200822937C,Not Applicable,Others,Think Tanks,Research
232,Interserve Singapore,Registered,S89SS0004B,Not Applicable,Religious,Christianity,"Public awareness, promotion & advisory Supports other Charities Training & education"
233,ISLAMIC DEVELOPMENT BANK EDUCATION TRUST,Registered,S94CC1011D,Not Applicable,Others,General Charitable Purposes,
234,JAMES CRAIG FUND,Registered,S85CC0165D,Not Applicable,Others,General Charitable Purposes,"Financial assistance, bursaries & scholarships"
235,JAMES RAPER TRUST FUND,Registered,S84CC0084L,Not Applicable,Education,Foundations & Trusts,
236,Jen Chen Buddhism Centre,Deregistered,S92SS0003G,Not Applicable,Religious,Buddhism,
237,Jen Chen Buddhist Blissful Culture Centre,Registered,S93SS0098D,Not Applicable,Religious,Buddhism,"Public awareness, promotion & advisory"
238,Jesus Reigns Church,Registered,S97SS0141G,Not Applicable,Religious,Christianity,
239,JLU GLOBAL LTD.,Registered,200817745G,Not Applicable,Religious,Christianity,
240,JOHN MEAD DANCE COMPANY LTD.,Registered,200701899H,Not Applicable,Arts and Heritage,"Professional, Contemporary & Ethnic Dance","Direct Services Public awareness, promotion & advisory Supports other Charities Training & education Research"
241,JOO CHIAT CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T07CC2008J,From 01/4/2021 to 31/3/2024,Community,South East,"Financial assistance, bursaries & scholarships"
242,Joyful Charity,Registered,T04SS0281B,Not Applicable,Health,Others,
243,Jubilee Assembly of God,Registered,T05SS0011A,Not Applicable,Religious,Christianity,Supports other Charities
244,Jump Rope Federation (Singapore),Registered,T13SS0090E,Not Applicable,Sports,"Competitive Sports,Non-NSAs","Public awareness, promotion & advisory Supports other Charities Training & education"
245,K9ASSISTANCE (LIMITED),Registered,202010657N,Not Applicable,Social and Welfare,Disability (Adult),"Direct Services Public awareness, promotion & advisory Training & education Research"
246,KAI SAN TEMPLE ASSOCIATION,Registered,S77SS0026B,Not Applicable,Religious,Taoism,
247,KAKI BUKIT CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S92CC0869A,From 01/7/2021 to 30/6/2024,Community,North East,"Financial assistance, bursaries & scholarships"
248,KAM KWONG CHRISTIAN CHURCH,Registered,S98SS0044J,Not Applicable,Religious,Christianity,Direct Services
249,KAMPONG CHAI CHEE CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S92CC0881K,From 01/4/2023 to 31/3/2026,Community,South East,Direct Services
250,Kang Ming Free Clinic,Registered,T01SS0013F,Not Applicable,Health,TCM Clinic,Direct Services Supports other Charities Training & education
251,KATHO TEMPLE,Registered,S85CC0269A,Not Applicable,Religious,Buddhism,
252,KEAT HONG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T03CC1651H,From 01/4/2021 to 31/3/2024,Community,South West,"Financial assistance, bursaries & scholarships"
253,Kew Ong Yah Temple (Upper Serangoon),Registered,S21CC0001E,Not Applicable,Religious,Taoism,"Public awareness, promotion & advisory Supports other Charities"
254,Khyenkong Tharjay Buddhist Charitable Society,Registered,T05SS0083F,Not Applicable,Religious,Buddhism,Supports other Charities
255,"Kim Chuan Whuap Tuah Temple, The",Registered,S69SS0014A,Not Applicable,Religious,Buddhism,"Public awareness, promotion & advisory"
256,Kim Keat Christian Church,Registered,S96SS0046B,Not Applicable,Religious,Christianity,
257,Koon Teck Tng,Registered,S90SS0006G,Not Applicable,Religious,Buddhism,
258,Kuah Na Keng Temple Association,Registered,S86SS0046K,Not Applicable,Religious,Taoism,
259,KUO PAO KUN FOUNDATION LIMITED,Registered,200722797E,Not Applicable,Arts and Heritage,Others,Supports other Charities
260,KWSH FOUNDATION LIMITED,Registered,202126511D,Not Applicable,Health,,
261,LA SALLE CENTRE (LIMITED),Registered,200708204G,Not Applicable,Education,Local Educational Institutions/Funds,Direct Services Training & education
262,Lam Hai Poh Toh San,Registered,S85SS0012F,Not Applicable,Religious,Buddhism,
263,Lawn Bowls Association for the Disabled (Singapore),Registered with IPC,T04SS0110B,From 16/12/2020 to 15/12/2023,Sports,"Disability Sports,Non-NSAs","Public awareness, promotion & advisory Training & education"
264,"Legion of Mary, The",Registered,S61SS0184J,Not Applicable,Religious,Christianity,
265,Lejia Society,Registered,T06SS0031E,Not Applicable,Social and Welfare,Support Groups,"Public awareness, promotion & advisory"
266,Leng Hok San Hian Leng Temple Tian Se Tao Chiao,Registered,S85SS0027B,Not Applicable,Religious,Taoism,
267,Leng Kong Toh Tong,Deregistered,S74SS0006K,Not Applicable,Religious,Others,Direct Services
268,Leong Nam Temple,Registered,S91SS0007H,Not Applicable,Religious,Taoism,Supports other Charities
269,LIAN CHEE KEK BUDDHIST TEMPLE,Registered,T06CC1969B,Not Applicable,Religious,Buddhism,
270,Lian Huay Temple,Registered,S85SS0078A,Not Applicable,Religious,Taoism,
271,LIEN AID LIMITED,Registered,200608289Z,Not Applicable,Others,Humanitarian Aid,"Public awareness, promotion & advisory"
272,LIFE EDU SERVICES LTD.,Registered,201418437Z,Not Applicable,Social and Welfare,"Children/Youth,Community,Family,Support Groups","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
273,Life Spring Community Network,Deregistered,S99SS0017J,Not Applicable,Social and Welfare,"Children/Youth,Community,Eldercare,Family","Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
274,LIFE! COMMUNITY DEVELOPMENT LTD.,Registered,200415547M,Not Applicable,Social and Welfare,Community,"Public awareness, promotion & advisory Training & education"
275,LIFELINE HARVEST CHURCH,Registered,S95SS0025B,Not Applicable,Religious,Christianity,Training & education
276,LIFELINK CHRISTIAN CHURCH,Deregistered,T00SS0098K,Not Applicable,Religious,Christianity,Direct Services Training & education
277,Light and Love Charity,Registered,S99SS0158E,Not Applicable,Social and Welfare,"Community,Eldercare,Family",Direct Services
278,LIMITLESS (LTD.),Registered with IPC,201713769M,From 18/5/2022 to 17/5/2023,Social and Welfare,Support Groups,"Direct Services Research Training & education Public awareness, promotion & advisory"
279,LIN XIAO DIAN CHARITY SOCIETY,Registered,T08SS0159F,Not Applicable,Social and Welfare,Community,Direct Services
280,LITTLE FLOCK INTERNATIONAL CHURCH LIMITED,Registered,198001460H,Not Applicable,Religious,Christianity,
281,LIVE FOR ETERNITY CHURCH LTD.,Registered,201116566W,Not Applicable,Religious,Christianity,"Financial assistance, bursaries & scholarships Supports other Charities Training & education"
282,LIVE TO LOVE (SINGAPORE) LIMITED,Registered,201542804G,Not Applicable,Others,"Children/Youth,Environment,General Charitable Purposes,Humanitarian Aid","Public awareness, promotion & advisory Supports other Charities Training & education"
283,Living Streams Christian Church,Registered,S90SS0084L,Not Applicable,Religious,Christianity,Direct Services
284,LIVING WAY SOCIAL SERVICES LTD.,Registered,201635277R,Not Applicable,Social and Welfare,Community,Direct Services
285,Local Church (Singapore),Registered,S87SS0004C,Not Applicable,Religious,Christianity,
286,Long Xian Shan Gong Temple,Registered,S95SS0010F,Not Applicable,Religious,Taoism,Direct Services
287,Lord Buddha Temple,Registered,S92SS0001D,Not Applicable,Religious,Buddhism,
288,LOTUS LIFE FOUNDATION LIMITED,Registered,201612198M,Not Applicable,Social and Welfare,Community,"Grantmaking Financial assistance, bursaries & scholarships Supports other Charities"
289,Lotus Sutra Buddhist Association,Registered,S85SS0110E,Not Applicable,Religious,Buddhism,Direct Services
290,"LOVE, NILS LTD.",Registered with IPC,201724930Z,From 22/4/2022 to 21/4/2024,Health,Other Community-based Services,"Direct Services Grantmaking Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities Training & education"
291,Lupus Association (Singapore),Registered with IPC,S91SS0026L,From 06/5/2021 to 05/5/2024,Health,Diseases/Illnessess Support Group,"Direct Services Financial assistance, bursaries & scholarships Training & education"
292,Macedonia Bible-Presbyterian Church,Registered,S97SS0171L,Not Applicable,Religious,Christianity,
293,MAJOR JOHN LONG TRUST FUND,Registered,S98CC1332C,Not Applicable,Others,General Charitable Purposes,
294,MAJULAH COMMUNITY LIMITED,Registered,201021626N,Not Applicable,Others,Children/Youth,
295,MARINE PARADE CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered,T07CC2048G,Not Applicable,Community,South East,"Financial assistance, bursaries & scholarships"
296,MATAMPATH KOCHUNNI NAYAR MEMORIAL FUND,Registered,T02CC1606B,Not Applicable,Religious,Hinduism,Supports other Charities
297,MEE TOH FOUNDATION LIMITED,Registered,201603910W,Not Applicable,Religious,Buddhism,
298,Mistri Trust Fund,Registered,T08CC4012C,Not Applicable,Others,Children/Youth,"Financial assistance, bursaries & scholarships"
299,MIT CLUB OF SINGAPORE SCHOLARSHIP FUND,Registered,T12CC0008E,From 17/7/2020 to 16/7/2022,Education,Foundations & Trusts,"Financial assistance, bursaries & scholarships"
300,Mou Shan Tin Yam Meditation Altar,Registered,S93SS0075F,Not Applicable,Religious,Taoism,
301,MOULMEIN-CAIRNHILL CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered,S92CC0874D,Not Applicable,Community,Central,"Financial assistance, bursaries & scholarships"
302,MOUNTBATTEN CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered,S87CC0426G,Not Applicable,Community,South East,"Financial assistance, bursaries & scholarships"
303,MR & MRS R JUMABHOY CHARITY  TRUST,Registered,S94CC1059C,Not Applicable,Others,General Charitable Purposes,
304,MRS LIM CHUAN HOE SCHOLARSHIP FUND,Registered,T02CC1635K,Not Applicable,Education,Foundations & Trusts,
305,MRS PIROSKA RAJARATNAM MEMORIAL TRUST FUND,Registered,S90CC0767H,Not Applicable,Others,General Charitable Purposes,Direct Services
306,MUSLIMIN TRUST FUND ASSOCIATION BURIAL FUND,Registered,S84CC2028B,Not Applicable,Religious,Islam,"Direct Services Financial assistance, bursaries & scholarships"
307,My Community,Registered,T10SS0125C,From 13/6/2021 to 12/9/2021,Arts and Heritage,Historical & Cultural Conservation,"Direct Services Public awareness, promotion & advisory Training & education Research"
308,MY COMMUNITY LIMITED,Registered with IPC,202000632R,From 01/6/2022 to 31/5/2023,Arts and Heritage,Historical & Cultural Conservation,"Public awareness, promotion & advisory Training & education Research"
309,Nan Dao Tian Xin Dong Association,Registered,T02SS0166D,Not Applicable,Religious,Taoism,
310,National Arts Council,Exempt Charity,T08GB0033C,Not Applicable,Arts and Heritage,"Literary Arts,Music & Orchestras,Professional, Contemporary & Ethnic Dance,Theatre & Dramatic Arts,Traditional Ethnic Performing Arts,Visual Arts","Public awareness, promotion & advisory"
311,National Foundation for Digestive Diseases,Registered,S85SS0074F,Not Applicable,Health,Diseases/Illnessess Support Group,"Public awareness, promotion & advisory"
312,NATIONAL HEALTHCARE GROUP FUND,Registered with IPC,201623926M,From 14/2/2021 to 13/2/2024,Health,,"Direct Services Research Training & education Public awareness, promotion & advisory"
313,"National Safety Council of Singapore, The",Registered,S66SS0048G,Not Applicable,Others,General Charitable Purposes,
314,NEE SOON CENTRAL CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered,T07CC2020G,Not Applicable,Community,North West,"Financial assistance, bursaries & scholarships"
315,"Netherlands Charity Association, The",Registered,S81SS0008A,Not Applicable,Social and Welfare,Community,"Financial assistance, bursaries & scholarships Supports other Charities"
316,NEW CENTURY FOUNDATION LIMITED,Registered,200302325E,Not Applicable,Social and Welfare,Community,Direct Services Research
317,New Horizon Music Society,Registered,S95SS0148B,Not Applicable,Arts and Heritage,Music & Orchestras,"Public awareness, promotion & advisory Supports other Charities"
318,NEW REDEEMER'S FELLOWSHIP SOCIETY,Registered,T07SS0228C,Not Applicable,Social and Welfare,"Community,Family,Support Groups",
319,NG CHWEE CHENG FOUNDATION LIMITED,Registered,200812479D,Not Applicable,Social and Welfare,Community,"Financial assistance, bursaries & scholarships"
320,NGEE ANN CULTURAL CENTRE LIMITED,Registered,199805169D,Not Applicable,Arts and Heritage,Historical & Cultural Conservation,
321,NNI HEALTH ENDOWMENT FUND,Deregistered,T00CC1410F,Not Applicable,Health,,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities Training & education Research"
322,NTU Tabernacle Fellowship,Registered,S87SS0007B,Not Applicable,Religious,Christianity,
323,NULIFE CARE & COUNSELLING SERVICES LIMITED,Registered with IPC,200416313W,From 18/6/2022 to 17/12/2023,Social and Welfare,Community,Direct Services
324,Nyingmapa (Buddhist) Meditation Centre,Registered,S91SS0055H,Not Applicable,Religious,Buddhism,Training & education
325,OASIS SECOND CHANCE ANIMAL SHELTER LTD.,Registered,201406657D,Not Applicable,Others,Animal Welfare,
326,Olivet Bible-Presbyterian Church,Registered,S93SS0074K,Not Applicable,Religious,Christianity,"Financial assistance, bursaries & scholarships Supports other Charities Training & education"
327,ONE (SINGAPORE),Registered,T05SS0263L,Not Applicable,Others,General Charitable Purposes,"Public awareness, promotion & advisory Supports other Charities Training & education"
328,ONERHT FOUNDATION LTD.,Registered,201506964K,Not Applicable,Others,General Charitable Purposes,"Direct Services Grantmaking Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities Training & education Research"
329,ONG FOUNDATION,Registered,201136545W,Not Applicable,Others,General Charitable Purposes,Training & education
330,Operation Renewal (Singapore),Deregistered,S89SS0003F,Not Applicable,Social and Welfare,Support Groups,
331,OPERAVIVA LIMITED,Registered,200809663K,Not Applicable,Arts and Heritage,"Music & Orchestras,Theatre & Dramatic Arts","Direct Services Public awareness, promotion & advisory Training & education"
332,Osteoporosis Society (Singapore),Registered,S96SS0085D,Not Applicable,Health,Diseases/Illnessess Support Group,"Public awareness, promotion & advisory Training & education"
333,PACTA ASIA LIMITED,Registered,201000334H,Not Applicable,Others,General Charitable Purposes,
334,Pak Leng Guard Seow Tian,Registered,S97SS0040J,Not Applicable,Religious,Taoism,
335,Palyul Nyingma Buddhist Association,Registered,S93SS0058F,Not Applicable,Religious,Buddhism,"Public awareness, promotion & advisory"
336,PASIR RIS EAST CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T07CC2015D,From 01/1/2021 to 31/12/2023,Community,North East,"Financial assistance, bursaries & scholarships"
337,Peace Community Chapel,Registered,S99SS0066E,Not Applicable,Religious,Christianity,Direct Services Training & education Research
338,Peace Home Fellowship,Registered,S95SS0055F,Not Applicable,Religious,Christianity,Direct Services Training & education
339,PERCY ALEXANDER BULBROOK CHARITABLE TRUST,Registered,S91CC0818H,Not Applicable,Social and Welfare,Community,Grantmaking
340,Philos Assembly of God,Registered,T04SS0155B,Not Applicable,Religious,Christianity,Direct Services
341,Phoh Teck Siang Tng,Registered,S80SS0032B,Not Applicable,Religious,Taoism,"Financial assistance, bursaries & scholarships"
342,PIONEER CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T02CC1640B,From 01/4/2021 to 31/3/2024,Community,South West,"Financial assistance, bursaries & scholarships"
343,PLATFORM PROJECTS LTD.,Deregistered,201136393K,Not Applicable,Arts and Heritage,Visual Arts,
344,Poh Chung Tian Chor Sian Tong,Registered,S91SS0028C,Not Applicable,Religious,Taoism,
345,Poh Tiong Kiong Temple,Registered,S93SS0030F,Not Applicable,Religious,Taoism,Direct Services
346,"Polytechnic Christian Fellowship, Singapore",Registered,S64SS0036L,Not Applicable,Religious,Christianity,
347,POTONG PASIR CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T06CC1973J,From 01/7/2021 to 30/6/2024,Community,Central,"Financial assistance, bursaries & scholarships"
348,PRISON FELLOWSHIP INTERNATIONAL AT SINGAPORE LTD.,Registered,200506211G,Not Applicable,Religious,Christianity,Training & education
349,PROJECT PEACE COMMUNITY CARE OUTREACH LIMITED,Registered,201717636M,Not Applicable,Social and Welfare,Community,Direct Services Training & education
350,PROJECT SMILE LIMITED,Registered with IPC,201406530G,From 04/2/2023 to 03/7/2024,Social and Welfare,"Children/Youth,Community,Family,Support Groups",
351,Promisedland Evangelical Centre,Registered,T02SS0020F,Not Applicable,Religious,Christianity,Direct Services
352,PSALT CARE LIMITED,Registered with IPC,201401059R,From 05/11/2022 to 04/11/2024,Social and Welfare,Support Groups,"Direct Services Public awareness, promotion & advisory Supports other Charities"
353,Pu Ti Lian She,Registered,S81SS0089D,Not Applicable,Religious,Buddhism,Supports other Charities
354,Pu Xian Buddhist Society,Registered,S93SS0150G,Not Applicable,Religious,Buddhism,
355,Punggol Coast CCC Community Development and Welfare Fund,Registered with IPC,T12CC0002G,From 01/6/2020 to 30/6/2023,Community,North East,"Financial assistance, bursaries & scholarships"
356,PUNGGOL SHORE CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T07CC2007B,From 01/7/2021 to 30/6/2024,Community,North East,"Financial assistance, bursaries & scholarships"
357,Punggol West CCC Community Development and Welfare Fund,Registered with IPC,T16CC0004H,From 01/6/2020 to 30/6/2023,Community,North East,"Financial assistance, bursaries & scholarships"
358,Qing Yun Meow,Registered,S85SS0043F,Not Applicable,Religious,Taoism,
359,Qutbi Charitable and Religious Society (Singapore),Registered,T19SS0056B,Not Applicable,Religious,Islam,"Grantmaking Financial assistance, bursaries & scholarships Supports other Charities"
360,RADHA MADHAV SATSANG,Registered,T06CC1988E,Not Applicable,Religious,Hinduism,Training & education
361,Retinitis Pigmentosa Society (Singapore),Deregistered,T02SS0033K,Not Applicable,Health,Diseases/Illnessess Support Group,
362,Revival Centre Church,Registered,S62SS0063F,Not Applicable,Religious,Christianity,"Direct Services Financial assistance, bursaries & scholarships Supports other Charities Training & education"
363,RISE COMMUNITY LIMITED,Registered,202102374C,Not Applicable,Social and Welfare,"Community,Family","Direct Services Research Supports other Charities Training & education Public awareness, promotion & advisory"
364,ROTARY CLUB OF SENTOSA CHARITY LIMITED,Registered,201004374E,Not Applicable,Social and Welfare,Community,"Financial assistance, bursaries & scholarships"
365,ROTARY STUDENTS LOAN TRUST FUND,Registered,S84CC0096H,Not Applicable,Social and Welfare,Children/Youth,
366,Ruwan Buddhist Society,Registered,S90SS0032E,Not Applicable,Religious,Buddhism,Training & education
367,S C Wong Foundation Trust,Registered,T13CC0003H,Not Applicable,Others,General Charitable Purposes,Grantmaking
368,S M JALEEL FOUNDATION LTD.,Registered with IPC,201009329W,From 23/12/2022 to 22/12/2023,Social and Welfare,Community,"Direct Services Financial assistance, bursaries & scholarships Training & education"
369,SAJJAD FOUNDATION LIMITED,Deregistered,201103782C,Not Applicable,Social and Welfare,Community,"Financial assistance, bursaries & scholarships Supports other Charities Grantmaking"
370,Sakyadhita (Daughters of the Buddha),Registered,S94SS0098J,Not Applicable,Religious,Buddhism,"Financial assistance, bursaries & scholarships Supports other Charities"
371,SALT & LIGHT FOUNDATION,Registered,S00CC0008K,Not Applicable,Religious,Christianity,"Direct Services Grantmaking Financial assistance, bursaries & scholarships Supports other Charities"
372,SALT AND LIGHT GOSPEL MISSION,Registered,T02SS0233C,Not Applicable,Religious,Christianity,Supports other Charities
373,Sam Ann Temple Association,Registered,S84SS0028D,Not Applicable,Religious,Taoism,
374,Samadhi Buddhist Society,Registered,S88SS0097H,Not Applicable,Religious,Buddhism,"Public awareness, promotion & advisory"
375,Sathya Sai Mission (Singapore),Registered,S84SS0093D,Not Applicable,Others,General Charitable Purposes,Direct Services
376,SAWL SCHOLARSHIP FUND,Registered with IPC,S89CC0680J,From 01/1/2023 to 31/12/2025,Education,Foundations & Trusts,"Financial assistance, bursaries & scholarships"
377,SCAB LIMITED,Deregistered,200207271H,Not Applicable,Arts and Heritage,Visual Arts,
378,SCHOLASTIC ENVIRONMENT FUND LTD.,Registered,200309783M,Not Applicable,Others,Environment,Direct Services Training & education
379,SCIENCE CENTRE BOARD ENDOWMENT FUND,Exempt Charity,T08CC3013H,Not Applicable,Education,Local Educational Institutions/Funds,"Direct Services Public awareness, promotion & advisory Training & education"
380,SCULPTURE SQUARE LIMITED,Deregistered,199604522K,Not Applicable,Arts and Heritage,Visual Arts,"Public awareness, promotion & advisory"
381,See Thian Foh Combined Temple,Registered,S92SS0126G,Not Applicable,Religious,"Buddhism,Taoism",Direct Services
382,SEMBAWANG CENTRAL CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T16CC0001J,From 01/4/2021 to 31/3/2024,Community,North West,"Financial assistance, bursaries & scholarships"
383,Sembawang Seng Pang Keng,Registered,S83SS0002B,Not Applicable,Religious,Taoism,Supports other Charities
384,SEMBAWANG WEST CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T06CC1941B,From 01/7/2021 to 30/6/2024,Community,North West,"Financial assistance, bursaries & scholarships"
385,Sengkang Central CCC Community Development and Welfare Fund,Registered with IPC,T07CC2053K,From 01/10/2021 to 30/9/2024,Community,North East,"Financial assistance, bursaries & scholarships"
386,SENGKANG EAST CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T07CC2010B,From 01/6/2020 to 30/6/2023,Community,North East,"Financial assistance, bursaries & scholarships"
387,Sera Jey (Singapore) Buddhist Centre,Registered,T07SS0082J,Not Applicable,Religious,Buddhism,
388,Serangoon CCC Community Development and Welfare Fund,Registered with IPC,T10CC0009B,From 01/7/2020 to 30/6/2023,Community,North East,"Financial assistance, bursaries & scholarships Supports other Charities"
389,SERANGOON CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Deregistered,S80SS0135C,Not Applicable,Community,North East,"Financial assistance, bursaries & scholarships"
390,Seventy Times Seven,Registered with IPC,T09CC0007H,From 01/10/2020 to 30/9/2023,Social and Welfare,"Children/Youth,Community,Family,Support Groups","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
391,SG CARING HEART LIMITED,Deregistered,201332216H,Not Applicable,Social and Welfare,Community,"Financial assistance, bursaries & scholarships"
392,SG SERVE LTD.,Registered with IPC,201621736D,From 25/10/2022 to 24/10/2025,Health,Other Community-based Services,"Direct Services Supports other Charities Training & education Public awareness, promotion & advisory"
393,SGH CARDIOLOGY RESEARCH FUND,Registered,S97CC1228L,Not Applicable,Others,General Charitable Purposes,Research
394,SHAIKH OMAR ALKHATIB EDUCATIONAL FUND,Registered,T00CC1411B,Not Applicable,Education,Foundations & Trusts,
395,SHEKINAH HARVEST CHURCH,Registered,T03SS0072F,Not Applicable,Religious,Christianity,Direct Services
396,Shepherd's Assembly,Registered,S89SS0074D,Not Applicable,Religious,Christianity,Training & education
397,SHIRDI SAI WORSHIP CENTRE LTD.,Registered,200820782H,Not Applicable,Religious,Hinduism,Grantmaking Training & education
398,SHRIMAD RAJCHANDRA MISSION DHARAMPUR (SINGAPORE) LTD.,Registered,201721347M,Not Applicable,Religious,Others,Direct Services Supports other Charities
399,Si Dao Feng Jiao Temple,Registered,S96SS0009C,Not Applicable,Religious,Taoism,Direct Services
400,SIAN HENG TNG TEMPLE,Registered,S88CC0558K,Not Applicable,Religious,Buddhism,
401,Sian Keng Tong Temple,Registered,S87SS0002L,Not Applicable,Religious,Taoism,
402,Siddhartha Centre,Registered,S94SS0113B,Not Applicable,Religious,Buddhism,"Financial assistance, bursaries & scholarships"
403,SIGLAP CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T07CC2013A,From 07/1/2022 to 31/12/2023,Community,South East,"Financial assistance, bursaries & scholarships Training & education"
404,Sikh Sewaks Singapore,Registered,S79SS0030H,Not Applicable,Religious,Others,
405,SING LIT STATION LIMITED,Registered with IPC,201615577D,From 15/12/2021 to 14/12/2023,Arts and Heritage,Literary Arts,"Direct Services Public awareness, promotion & advisory Training & education"
406,Sing Man Temple (Singapore),Registered,T08SS0124L,Not Applicable,Religious,Buddhism,Direct Services
407,"Singapore American Community Action Council, The",Registered,S73SS0043D,Not Applicable,Others,General Charitable Purposes,Direct Services
408,"Singapore Arts Federation, The",Registered,S67SS0028B,Not Applicable,Arts and Heritage,Others,"Financial assistance, bursaries & scholarships"
409,"SINGAPORE ASSOCIATION FOR CONTINUING EDUCATION, THE",Registered,S79SS0040B,Not Applicable,Health,Active Ageing,Training & education
410,Singapore Association for the Advancement of Science (SAAS),Registered,S67SS0013F,Not Applicable,Education,Others,"Public awareness, promotion & advisory"
411,Singapore Association for the Study of Obesity,Registered,T01SS0206D,Not Applicable,Health,Diseases/Illnessess Support Group,Training & education
412,SINGAPORE ASSOCIATION OF THE SOVEREIGN MILITARY HOSPITALLER ORDER OF ST. JOHN OF JERUSALEM,Registered,T04SS0228K,Not Applicable,Religious,Christianity,Direct Services
413,Singapore Ayyappa Seva Sangham,Registered,S83SS0005A,Not Applicable,Religious,Hinduism,"Financial assistance, bursaries & scholarships"
414,SINGAPORE BIBLE COLLEGE,Registered,S91CC0796K,Not Applicable,Religious,Christianity,Training & education
415,SINGAPORE BIBLE COLLEGE LIMITED,Registered,201020904N,Not Applicable,Religious,Christianity,Training & education
