S/N,Name of Organisation,Type,UEN,IPC Period,Sector,Classification,Activities
1,#CHECKED LIMITED,Registered,200920810R,Not Applicable,Others,Environment,
2,#NAME?,Registered,201021998H,Not Applicable,Others,General Charitable Purposes,Grantmaking
3,21C GIRLS LTD.,Registered,201436550G,Not Applicable,Education,Others,Training & education
4,ABDULLAH SALEH SHOOKER TRUST,Registered,S85CC2085E,Not Applicable,Others,General Charitable Purposes,
5,"ACADEMY OF ENGINEERING, SINGAPORE",Registered,T11SS0118B,Not Applicable,Others,Think Tanks,
6,ACCESS HEALTH INTERNATIONAL SOUTHEAST ASIA LIMITED,Registered,201112640R,Not Applicable,Health,Others,
7,ACES CARE LIMITED,Registered with IPC,201608445Z,From 27/2/2023 to 26/2/2024,Health,Other Community-based Services,"Direct Services Public awareness, promotion & advisory Supports other Charities Training & education"
8,Acts Baptist Church,Registered,S86SS0075G,Not Applicable,Religious,Christianity,
9,Adullam Life Counselling,Registered,T13SS0070F,Not Applicable,Social and Welfare,"Community,Family,Support Groups","Direct Services Public awareness, promotion & advisory Supports other Charities Training & education"
10,Adventist Community Services,Registered,S60SS0011A,Not Applicable,Social and Welfare,Community,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
11,AGAM LTD.,Registered with IPC,201903610E,From 20/5/2022 to 19/11/2023,Arts and Heritage,"Historical & Cultural Conservation,Theatre & Dramatic Arts","Public awareness, promotion & advisory Training & education Research"
12,Agape Christian Centre,Registered,T00SS0010B,Not Applicable,Religious,Christianity,Direct Services Training & education
13,Agape Counselling and Training Centre,Registered,S91SS0045C,Not Applicable,Social and Welfare,Community,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
14,Agape Vision Association,Registered,S97SS0009H,Not Applicable,Religious,Christianity,Direct Services Training & education
15,AGORA@WESTCOASTPLAZA LTD.,Registered,200702751M,Not Applicable,Social and Welfare,"Children/Youth,Disability (Adult),Disability (Children),Eldercare,Family",Direct Services Training & education
16,AKARAKA LIMITED,Registered,201017533Z,Not Applicable,Others,Children/Youth,"Financial assistance, bursaries & scholarships"
17,ALIFE LTD.,Registered with IPC,200204369H,From 28/8/2022 to 27/2/2025,Social and Welfare,Family,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
18,ALIVE COMMUNITY NETWORK,Registered with IPC,T02SS0190K,From 01/11/2020 to 31/10/2023,Social and Welfare,Community,
19,ALL GOOD GIFTS LTD,Registered,198900203M,Not Applicable,Religious,Christianity,"Public awareness, promotion & advisory Supports other Charities Training & education"
20,AMBASSADORS FOR CHRIST (SINGAPORE) LIMITED,Registered,197300850D,Not Applicable,Religious,Christianity,Training & education
21,AMBULANCE WISH (SINGAPORE) LTD.,Registered,201916704W,Not Applicable,Social and Welfare,Community,Direct Services
22,Ananias Centre,Registered,S95SS0151B,Not Applicable,Social and Welfare,"Community,Family","Direct Services Public awareness, promotion & advisory Training & education"
23,ANG MO KIO CHINESE METHODIST CHURCH,Registered,S87CC0484A,Not Applicable,Religious,Christianity,"Direct Services Financial assistance, bursaries & scholarships Supports other Charities"
24,ANG MO KIO-HOUGANG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T00CC1416D,From 01/4/2021 to 31/3/2024,Community,Central,"Financial assistance, bursaries & scholarships"
25,Ann Jin Kiong,Registered,S85SS0044B,Not Applicable,Religious,Taoism,"Financial assistance, bursaries & scholarships"
26,Aoxiang Counselling Service,Registered,T05SS0095C,Not Applicable,Social and Welfare,Family,Direct Services Training & education
27,ARC LEARNING ACADEMY LTD.,Registered,201112356K,Not Applicable,Social and Welfare,Disability (Adult),Training & education
28,Archipelago Cares Charitable Trust,Registered,T18CC0006K,Not Applicable,Social and Welfare,"Community,Disability (Adult),Disability (Children),Eldercare,Family,Support Groups","Grantmaking Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities Training & education"
29,"ARK, THE",Deregistered,T07SS0078B,Not Applicable,Religious,Christianity,Direct Services
30,"ARMENIAN APOSTOLIC CHURCH OF ST GREGORY THE ILLUMINATOR, TRUST, THE",Registered,T03CC1734K,Not Applicable,Religious,Christianity,"Public awareness, promotion & advisory"
31,ARTSEQUATOR LTD.,Registered,201701329M,Not Applicable,Arts and Heritage,"Literary Arts,Music & Orchestras,Theatre & Dramatic Arts,Training & Education","Direct Services Public awareness, promotion & advisory Supports other Charities Training & education Research"
32,ASCENDING HOPE COMMUNITY SERVICES LTD.,Registered with IPC,201623215G,From 09/4/2023 to 08/4/2024,Social and Welfare,Community,"Direct Services Public awareness, promotion & advisory Supports other Charities"
33,Asia Pacific Hospice Palliative Care Network,Registered,T01SS0003A,Not Applicable,Health,Others,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
34,ASIA THEOLOGICAL CENTER,Registered,S85SS0003H,Not Applicable,Religious,Christianity,Training & education
35,Asian Christian Training Centre,Registered,S90SS0058B,Not Applicable,Religious,Christianity,Training & education
36,ASIAN FILM ARCHIVE,Registered with IPC,200500010H,From 13/1/2022 to 12/1/2024,Arts and Heritage,Historical & Cultural Conservation,"Public awareness, promotion & advisory Training & education"
37,ASIAN MEDICAL FOUNDATION LTD.,Registered with IPC,200303941K,From 04/6/2022 to 03/6/2025,Health,Others,Supports other Charities
38,Asian Women's Welfare Association,Deregistered,S70SS0021J,Not Applicable,Social and Welfare,"Community,Disability (Children),Eldercare,Family","Direct Services Public awareness, promotion & advisory Training & education"
39,Association for Breastfeeding Advocacy (Singapore),Registered,T03SS0174L,Not Applicable,Health,Others,"Public awareness, promotion & advisory Training & education"
40,AVANT THEATRE & LANGUAGE,Registered,201105101N,Not Applicable,Arts and Heritage,"Literary Arts,Theatre & Dramatic Arts,Traditional Ethnic Performing Arts,Training & Education",Direct Services Training & education
41,AWFUL GRACE LTD.,Registered,201620695W,Not Applicable,Social and Welfare,"Community,Family,Support Groups","Direct Services Grantmaking Financial assistance, bursaries & scholarships Supports other Charities Training & education"
