S/N,Name of Organisation,Type,UEN,IPC Period,Sector,Classification,Activities
42,AYER RAJAH-GEK POH CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T11CC0008L,From 01/1/2022 to 31/12/2024,Community,South West,"Financial assistance, bursaries & scholarships"
43,BAPTIST FELLOWSHIP CHURCH LIMITED,Registered,197700038D,Not Applicable,Religious,Christianity,
44,BAUHINIA BAPTIST CHURCH,Registered,S96SS0084H,Not Applicable,Religious,Christianity,Direct Services Training & education
45,BEAUTIFUL MIND CHARITY,Registered with IPC,T12SS0009G,From 17/2/2023 to 16/2/2025,Arts and Heritage,"Music & Orchestras,Others,Training & Education",Direct Services Supports other Charities Training & education
46,BEAUTIFUL PEOPLE SG LTD.,Registered with IPC,201525056H,From 01/12/2022 to 31/7/2025,Social and Welfare,Children/Youth,"Direct Services Financial assistance, bursaries & scholarships"
47,BEDOK CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S90CC0764J,From 01/7/2021 to 30/6/2024,Community,South East,"Financial assistance, bursaries & scholarships"
48,BEDOK RESERVIOR-PUNGGOL CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S88CC0571D,From 01/10/2021 to 30/9/2024,Community,North East,"Financial assistance, bursaries & scholarships Training & education"
49,Beeh Low See Temple,Registered,S94SS0047K,Not Applicable,Religious,Buddhism,
50,BEO SAN HOOD CHOR TEMPLE,Registered,S90CC0718A,Not Applicable,Religious,Taoism,
51,Berean Bible- Presbyterian Church,Registered,S97SS0060H,Not Applicable,Religious,Christianity,Direct Services
52,Berith Bible-Presbyterian Church,Registered,T07SS0044C,Not Applicable,Religious,Christianity,
53,Bethany Emmanuel Church,Registered,S89SS0030L,Not Applicable,Religious,Christianity,Direct Services Supports other Charities
54,BETHANY PRESBYTERIAN CHURCH,Registered,T12SS0103L,Not Applicable,Religious,Christianity,Supports other Charities
55,Bethesda Community Services Society,Registered,S95SS0026J,Not Applicable,Social and Welfare,"Children/Youth,Community,Eldercare,Family",
56,BETTER.SG LIMITED,Registered,202015048G,Not Applicable,Others,General Charitable Purposes,"Direct Services Public awareness, promotion & advisory Supports other Charities"
57,BGR INTERNATIONAL,Registered,200722544Z,Not Applicable,Others,Humanitarian Aid,Direct Services Grantmaking Supports other Charities Training & education
58,BHASKAR'S ARTS ACADEMY LTD,Registered with IPC,199907527E,From 01/1/2023 to 31/12/2024,Arts and Heritage,Traditional Ethnic Performing Arts,Direct Services
59,Bible Evangelism Church,Registered,S98SS0153J,Not Applicable,Religious,Christianity,
60,BILBY COMMUNITY DEVELOPMENT LTD.,Registered,201942228D,Not Applicable,Social and Welfare,"Children/Youth,Community","Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
61,Bishan East-Sin Ming CCC Community Development and Welfare Fund,Registered with IPC,S92CC0922L,From 01/4/2021 to 31/3/2024,Community,Central,"Financial assistance, bursaries & scholarships"
62,BLESS COMMUNITY SERVICES,Registered with IPC,T08SS0032L,From 22/2/2022 to 21/11/2023,Social and Welfare,"Children/Youth,Community,Eldercare,Family",Direct Services Training & education
63,BLESSED GRACE SOCIAL SERVICES LIMITED,Registered with IPC,201407233M,From 01/2/2022 to 31/1/2024,Social and Welfare,"Community,Eldercare,Family,Support Groups",Direct Services
64,BLOSSOM SEEDS LIMITED,Registered with IPC,201304904N,From 01/2/2022 to 31/1/2025,Health,Other Community-based Services,"Direct Services Public awareness, promotion & advisory Supports other Charities Training & education"
65,Blossom World Society,Registered with IPC,T08SS0161K,From 29/3/2023 to 28/9/2025,Others,"Children/Youth,General Charitable Purposes","Public awareness, promotion & advisory Supports other Charities Training & education"
66,BO TIEN TEMPLE,Registered,S70SS0033F,Not Applicable,Religious,Taoism,
67,Bochasanwasi Shree Akshar Purushottam Swaminarayan Sanstha (Singapore),Registered,T01SS0187E,Not Applicable,Religious,Hinduism,"Public awareness, promotion & advisory"
68,"Bodhi Association, The",Registered,S82SS0046A,Not Applicable,Religious,Buddhism,Direct Services
69,BOON LAY CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S87CC0542B,From 01/4/2021 to 31/3/2024,Community,South West,"Financial assistance, bursaries & scholarships"
70,BOP HUB LTD.,Registered,201334143M,Not Applicable,Others,"General Charitable Purposes,Think Tanks","Public awareness, promotion & advisory Training & education Research"
71,BORDER MISSION LIMITED,Registered,201437049R,Not Applicable,Others,General Charitable Purposes,
72,Bowling Association for the Disabled (Singapore),Registered with IPC,T10SS0077G,From 12/7/2021 to 11/7/2024,Sports,"Disability Sports,Non-NSAs",
73,BOWLS SINGAPORE,Registered,S97SS0166H,Not Applicable,Sports,NSAs,
74,BOYS' TOWN ALUMNI CHARITY FUND,Deregistered,T11CC0006H,Not Applicable,Social and Welfare,Children/Youth,Training & education
75,BRADDELL HEIGHTS CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S91CC0795C,From 01/7/2021 to 30/6/2024,Community,South East,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
76,BRAIN TUMOUR SOCIETY (SINGAPORE) LIMITED,Registered with IPC,201912577E,From 08/6/2022 to 07/6/2023,Health,Other Community-based Services,"Grantmaking Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
77,Breastfeeding Mothers' Support Group (Singapore),Registered with IPC,S91SS0021J,From 08/12/2022 to 07/12/2023,Health,Others,"Public awareness, promotion & advisory"
78,Brighton Connection,Registered with IPC,T05SS0234C,From 10/5/2022 to 09/2/2024,Social and Welfare,"Children/Youth,Eldercare",Direct Services Training & education
79,BRINGING LOVE TO EVERY SINGLE SOUL (SINGAPORE) LTD.,Registered,201418096G,Not Applicable,Others,"Children/Youth,General Charitable Purposes","Direct Services Public awareness, promotion & advisory Supports other Charities Research"
80,Buddha Dhamma Mandala Society,Registered,S87SS0016L,Not Applicable,Religious,Buddhism,"Public awareness, promotion & advisory"
81,Buddhist Enlightenment Haven,Registered,S92SS0077D,Not Applicable,Religious,Buddhism,"Direct Services Public awareness, promotion & advisory"
82,"Buddhist Fo Yuan Lin Monastery, The",Registered,T06SS0001A,Not Applicable,Religious,Buddhism,Training & education
83,Budhi Meditation Buddhist Association,Registered,S92SS0034G,Not Applicable,Religious,Buddhism,"Direct Services Financial assistance, bursaries & scholarships Training & education"
84,BUDS THEATRE,Registered,T11SS0182F,Not Applicable,Arts and Heritage,Theatre & Dramatic Arts,"Direct Services Public awareness, promotion & advisory Supports other Charities Training & education Research"
85,BUKIT BATOK EAST CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T02CC1597H,From 01/4/2023 to 31/3/2026,Community,South West,"Financial assistance, bursaries & scholarships Supports other Charities"
86,BUKIT GOMBAK CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S89CC0658F,From 01/1/2022 to 31/12/2024,Community,South West,"Financial assistance, bursaries & scholarships"
87,BUKIT PANJANG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered,S86CC0367E,Not Applicable,Community,North West,"Financial assistance, bursaries & scholarships"
88,BUKIT PANJANG GOSPEL CHAPEL LTD,Registered,198703252G,Not Applicable,Religious,Christianity,
89,BUKIT TIMAH CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S91CC0825C,From 01/1/2021 to 31/12/2023,Community,North West,"Direct Services Financial assistance, bursaries & scholarships"
90,BUONA VISTA CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S91CC0827F,From 01/4/2021 to 31/3/2024,Community,Central,"Financial assistance, bursaries & scholarships"
91,Calvary Chapel (Singapore) Living Water,Registered,S92SS0050L,Not Applicable,Religious,Christianity,
92,Calvary Tengah Bible-Presbyterian Church,Registered,T03SS0196B,Not Applicable,Religious,Christianity,
93,CAMBRIDGE COLLEGES SCHOLARSHIPS (SINGAPORE) LTD.,Registered with IPC,202024946W,From 17/2/2023 to 16/2/2026,Education,Foreign Educational Institutions/Funds,"Financial assistance, bursaries & scholarships"
94,CampusImpact,Registered with IPC,T06SS0077A,From 01/7/2022 to 30/6/2025,Social and Welfare,Family,"Public awareness, promotion & advisory Training & education"
95,Cana Bible - Presbyterian Church,Registered,S90SS0094E,Not Applicable,Religious,Christianity,
96,CANOSSA MISSION SINGAPORE,Registered with IPC,201020087W,From 02/11/2021 to 01/11/2023,Social and Welfare,Children/Youth,Training & education
97,CAPE OF COLOURS LTD.,Registered,201135738K,Not Applicable,Social and Welfare,Children/Youth,
98,Care Assembly of God,Registered,S98SS0030J,Not Applicable,Religious,Christianity,Supports other Charities Training & education
99,CAREGIVING WELFARE ASSOCIATION,Registered with IPC,T04SS0073G,From 01/8/2021 to 31/7/2024,Health,Other Community-based Services,"Direct Services Public awareness, promotion & advisory Training & education"
100,Caring for Cambodia Fund,Registered,T08CC2141J,Not Applicable,Others,General Charitable Purposes,Training & education
101,Carlo Catholic Society,Deregistered,S96SS0038L,Not Applicable,Religious,Christianity,"Financial assistance, bursaries & scholarships"
102,Carmel Presbyterian Church,Registered,S84SS0074A,Not Applicable,Religious,Christianity,Training & education
103,CASA RAUDHA LTD.,Registered with IPC,201713778N,From 20/1/2022 to 19/10/2023,Social and Welfare,Family,"Direct Services Public awareness, promotion & advisory"
104,CASHEW CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T07CC2006F,From 01/1/2021 to 31/12/2023,Community,North West,"Financial assistance, bursaries & scholarships"
105,Catholic Prayer Society,Registered,S95SS0036C,Not Applicable,Religious,Christianity,
106,CAUSES FOR ANIMALS (SINGAPORE) LIMITED,Registered with IPC,201314186Z,From 15/2/2023 to 14/2/2026,Others,Animal Welfare,"Public awareness, promotion & advisory Supports other Charities Training & education"
107,CENTER FOR LIFE ENRICHMENT LTD,Registered,198300183W,Not Applicable,Religious,Christianity,
108,Centre for a Responsible Future,Registered,S99SS0065J,Not Applicable,Others,"Animal Welfare,Environment","Public awareness, promotion & advisory Training & education"
109,Centre for Non-Profit Leadership,Deregistered,T06SS0095H,Not Applicable,Others,General Charitable Purposes,
110,Centre for Seniors,Registered with IPC,T06SS0199E,From 01/4/2021 to 30/9/2023,Health,Active Ageing,"Public awareness, promotion & advisory Training & education"
111,Centre of Activity and Recreation for the Elders (CARE),Registered with IPC,S83SS0001F,From 01/5/2023 to 30/4/2026,Health,Others; Active Ageing,Direct Services Training & education
112,Centre of Hope Church,Registered,S87SS0050L,Not Applicable,Religious,Christianity,"Financial assistance, bursaries & scholarships"
113,CHAMBER MUSIC AND ARTS SINGAPORE LIMITED,Registered,202020064E,Not Applicable,Arts and Heritage,"Music & Orchestras,Training & Education,Visual Arts","Direct Services Public awareness, promotion & advisory Supports other Charities Training & education"
114,CHANGE COMMUNITY SERVICES LIMITED,Registered,201003883D,Not Applicable,Social and Welfare,"Children/Youth,Community,Family",Direct Services
115,Changi Christian Fellowship,Registered,T03SS0107H,Not Applicable,Religious,Christianity,Direct Services
116,CHANGI METHODIST CHURCH,Registered,S87CC0505C,Not Applicable,Religious,Christianity,
117,CHANGI SIMEI CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T02CC1598D,From 01/1/2022 to 31/12/2024,Community,South East,"Financial assistance, bursaries & scholarships Training & education"
118,Chao Ying Kong Temple,Registered,S94SS0007A,Not Applicable,Religious,Taoism,
119,CHARACTER & LEADERSHIP ACADEMY LIMITED,Registered,201412408N,Not Applicable,Others,Children/Youth,"Direct Services Research Supports other Charities Grantmaking Training & education Public awareness, promotion & advisory"
120,Charis Centre,Registered,T00SS0185H,Not Applicable,Social and Welfare,"Children/Youth,Community,Family,Support Groups",
121,"Chartered Institute of Logistics and Transport, Singapore, The",Registered,S72SS0011C,Not Applicable,Others,General Charitable Purposes,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education Research"
122,CHAY SIAN TONG LIMITED,Registered,197900126K,Not Applicable,Religious,Taoism,
123,CHECKPOINT THEATRE LIMITED,Registered with IPC,200209251R,From 01/1/2023 to 31/12/2024,Arts and Heritage,Theatre & Dramatic Arts,"Public awareness, promotion & advisory Training & education"
124,Chee Tian Keng Temple,Registered,S93SS0010G,Not Applicable,Religious,Taoism,"Financial assistance, bursaries & scholarships Supports other Charities"
125,Chee Tong Temple,Registered,S72SS0005D,Not Applicable,Religious,Taoism,Direct Services
126,Chek Sian Tng,Registered,S92SS0044A,Not Applicable,Religious,Buddhism,Direct Services
127,Cheng Kak Si,Registered,S99SS0003J,Not Applicable,Religious,Buddhism,Direct Services
128,Cheo Bu Tong Temple,Registered,S96SS0028F,Not Applicable,Religious,Taoism,Direct Services
129,Cheo Teik Temple,Registered,S97SS0113F,Not Applicable,Religious,Taoism,
130,CHEOW LENG BEO TEMPLE,Registered,S75SS0012C,Not Applicable,Religious,Taoism,
131,Cher Lian Tong Buddhist Temple,Registered,S93SS0068L,Not Applicable,Religious,Buddhism,
132,CHERN NAM KONG SIEW TEMPLE,Registered,S88SS0047E,Not Applicable,Religious,Taoism,"Direct Services Financial assistance, bursaries & scholarships Supports other Charities"
133,CHEW HUA SENG FOUNDATION LIMITED,Registered,200721080W,Not Applicable,Others,General Charitable Purposes,"Financial assistance, bursaries & scholarships"
134,Chiam See Tong Sports Fund,Registered,T17SS0038G,Not Applicable,Others,Children/Youth,"Direct Services Grantmaking Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Training & education"
135,CHILD EVANGELISM FELLOWSHIP (SINGAPORE) LTD.,Registered,197700453M,Not Applicable,Religious,Christianity,Training & education
136,Chin Fook Meow,Registered,S85SS0042K,Not Applicable,Religious,Taoism,Direct Services
137,Chin Khong Kow Poon Guan San Toh Tong,Registered,S99SS0091G,Not Applicable,Religious,Taoism,Direct Services
138,Chin Long Kong Temple,Registered,S94SS0122L,Not Applicable,Religious,Taoism,Direct Services
139,CHINESE ANNUAL CONFERENCE WOMEN'S SOCIETY OF CHRISTIAN SERVICE,Registered,S90CC0752A,Not Applicable,Religious,Christianity,Direct Services Training & education
140,CHINESE CHRISTIAN MISSION LIMITED,Registered,197901408G,Not Applicable,Religious,Christianity,Training & education
141,CHINESE THEATRE CIRCLE LIMITED,Registered,199502067G,From 01/3/2021 to 31/8/2021,Arts and Heritage,Traditional Ethnic Performing Arts,"Direct Services Public awareness, promotion & advisory Training & education"
142,CHONG HOCK TONG,Registered,T12SS0083E,Not Applicable,Religious,Taoism,Direct Services
143,CHOW TAI FOOK CHARITY FOUNDATION (SINGAPORE) LIMITED,Registered,201604228M,Not Applicable,Others,General Charitable Purposes,"Grantmaking Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities Training & education Research"
144,CHOWK PRODUCTIONS LTD.,Registered with IPC,201411870W,From 27/12/2022 to 31/12/2023,Arts and Heritage,"Professional, Contemporary & Ethnic Dance,Theatre & Dramatic Arts,Traditional Ethnic Performing Arts,Training & Education",Training & education
145,Christ Church of Singapore,Registered,S70SS0015K,Not Applicable,Religious,Christianity,"Direct Services Financial assistance, bursaries & scholarships Supports other Charities"
146,Christ for All Nations,Registered,T03SS0135J,Not Applicable,Religious,Christianity,Direct Services
147,Christ Grace Church,Registered,S90SS0075B,Not Applicable,Religious,Christianity,
148,Christ Tabernacle,Registered,S90SS0028J,Not Applicable,Religious,Christianity,Training & education
149,CHRISTIAN AGAPE FELLOWSHIP LTD,Registered,198305429M,Not Applicable,Religious,Christianity,"Public awareness, promotion & advisory Supports other Charities Training & education"
150,CHRISTIAN CARE SERVICES (SINGAPORE),Registered,S99SS0072D,Not Applicable,Social and Welfare,Community,
151,CHRISTIAN COMMUNICATIONS (SINGAPORE),Registered,S90SS0037G,Not Applicable,Religious,Christianity,
152,CHRISTIAN COUNSELLING SERVICES,Registered,T12SS0078B,Not Applicable,Social and Welfare,"Community,Support Groups","Public awareness, promotion & advisory"
153,CHRISTIAN COVENANT FELLOWSHIP LTD.,Registered,200909045D,Not Applicable,Religious,Christianity,
154,Christian Ekklesia,Registered,S93SS0032J,Not Applicable,Religious,Christianity,Supports other Charities
155,CHRISTIAN GRACE PRESBYTERIAN CHURCH LTD,Registered,197903636E,Not Applicable,Religious,Christianity,Direct Services Training & education
156,Christian Philadelphia Fellowship (Singapore),Registered,T01SS0114D,Not Applicable,Religious,Christianity,Direct Services
157,"CHRISTIAN SCIENCE SOCIETY, SINGAPORE",Registered,S61SS0063A,Not Applicable,Religious,Christianity,Direct Services
158,CHUA CHU KANG CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T07CC2019K,From 01/10/2021 to 30/9/2024,Community,South West,"Financial assistance, bursaries & scholarships"
159,Church Alive Ministries l.k.a Shalom Gospel Hall,Registered,S88SS0032J,Not Applicable,Religious,Christianity,
160,Church Arise,Registered,T01SS0022D,Not Applicable,Religious,Christianity,
161,CHURCH OF CHRIST THE ROCK,Registered,T01SS0184F,Not Applicable,Religious,Christianity,Direct Services Supports other Charities Training & education
162,"Church of Christ, Bedok",Registered,S88SS0009K,Not Applicable,Religious,Christianity,
163,"Church of Christ, Geylang",Registered,S87SS0097C,Not Applicable,Religious,Christianity,
164,"Church of Christ, Jurong",Registered,S80SS0042G,Not Applicable,Religious,Christianity,Direct Services Training & education
165,"Church of Christ, Pasir Panjang (Chinese)",Registered,T03SS0182B,Not Applicable,Religious,Christianity,
166,Church of Singapore (Admiralty),Registered,S93SS0065A,Not Applicable,Religious,Christianity,Supports other Charities
167,Church of Victory,Registered,S96SS0042G,Not Applicable,Religious,Christianity,Training & education
168,CIRCLE OF FRIENDS LIMITED,Registered,201433751W,Not Applicable,Social and Welfare,Children/Youth,Training & education
169,Citivision Church of Christ,Registered,S94SS0004B,Not Applicable,Religious,Christianity,
170,CITY CHINESE ORCHESTRA (SINGAPORE) LTD,Registered,199707455Z,Not Applicable,Arts and Heritage,Music & Orchestras,
171,Civilians Association (Singapore),Registered,S72SS0023L,Not Applicable,Others,General Charitable Purposes,"Direct Services Financial assistance, bursaries & scholarships Supports other Charities Training & education Public awareness, promotion & advisory"
172,CLEMENTI CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,S95CC1101F,From 01/7/2021 to 30/6/2024,Community,South West,"Financial assistance, bursaries & scholarships"
173,Clementi United Temple,Registered,S84SS0104A,Not Applicable,Religious,Taoism,Supports other Charities
174,CLUB HEAL,Registered with IPC,T12SS0028K,From 29/4/2023 to 28/4/2026,Health,,"Direct Services Public awareness, promotion & advisory"
175,Coalition Against Bullying for Children and Youth (CABCY),Registered,T05SS0272J,Not Applicable,Social and Welfare,"Children/Youth,Community","Public awareness, promotion & advisory Training & education Research"
176,"COLLEGE OF ANAESTHESIOLOGISTS, SINGAPORE",Registered,200410333E,Not Applicable,Health,,Training & education
177,"COLLEGE OF DENTAL SURGEONS, SINGAPORE",Registered,200815442W,Not Applicable,Health,,Training & education
178,"COLLEGE OF OBSTETRICIANS AND GYNAECOLOGISTS, SINGAPORE",Registered,200410332N,Not Applicable,Health,,Training & education
179,"COLLEGE OF PAEDIATRICS AND CHILD HEALTH, SINGAPORE",Registered,200410329W,Not Applicable,Health,,Training & education
180,"COLLEGE OF PHYSICIANS, SINGAPORE",Registered,200410334R,Not Applicable,Health,,Training & education
181,"COLLEGE OF RADIOLOGISTS, SINGAPORE",Registered,200410338Z,Not Applicable,Health,,Training & education
182,"COLLEGE OF SURGEONS, SINGAPORE",Registered,200410341R,Not Applicable,Health,,Training & education
183,COMMON PURPOSE ASIA-PACIFIC LIMITED,Registered,201331830Z,Not Applicable,Education,Others,Training & education
184,COMMUNITY CONCERN SERVICES,Registered,T04SS0147L,Not Applicable,Social and Welfare,Community,Supports other Charities
185,Community for Christ Church,Registered,S89SS0047K,Not Applicable,Religious,Christianity,
186,COMPASS LIFE,Registered,T13SS0112C,Not Applicable,Social and Welfare,Family,Training & education
187,CONJUNCT CONSULTING (SINGAPORE) LIMITED,Registered,201319107K,Not Applicable,Others,General Charitable Purposes,Supports other Charities
188,Cornerstone Evangelical Baptist Church,Registered,S98SS0130L,Not Applicable,Religious,Christianity,Direct Services Training & education
189,Covenant Church of Christ,Registered,S93SS0134C,Not Applicable,Religious,Christianity,
190,Covenant Community Baptist Church,Deregistered,S94SS0064K,Not Applicable,Religious,Christianity,Direct Services
191,Covenant Vision Christian Mission,Deregistered,T00SS0049C,Not Applicable,Religious,Christianity,
192,CRESCENT GIRLS' SCHOOL ALUMNAE ASSOCIATION TRUST FUND,Registered,S90CC0731F,Not Applicable,Education,Foundations & Trusts,
193,CROHN'S & COLITIS SOCIETY OF SINGAPORE,Registered with IPC,T12SS0090L,From 03/12/2022 to 02/12/2025,Health,Diseases/Illnessess Support Group,
194,Crown of Glory Church,Registered,S96SS0197C,Not Applicable,Religious,Christianity,
195,Cultural Matching Fund,Registered,T14CC0004J,Not Applicable,Arts and Heritage,"Historical & Cultural Conservation,Literary Arts,Music & Orchestras,Professional, Contemporary & Ethnic Dance,Theatre & Dramatic Arts,Traditional Ethnic Performing Arts,Training & Education,Visual Arts","Public awareness, promotion & advisory Supports other Charities"
196,Culture Regeneration Research Society,Registered,T00SS0181B,Not Applicable,Arts and Heritage,Historical & Cultural Conservation,Direct Services
197,Da Sheng Kong Chinese Temple,Registered,S89SS0076G,Not Applicable,Religious,Taoism,Direct Services
198,DANA ASIA,Registered,201106512M,Not Applicable,Others,General Charitable Purposes,
199,'DANCE.ACT.PLAY' PERFORMING ARTS SOCIETY FOR THE DISABLED,Registered,T12SS0084A,Not Applicable,Social and Welfare,Disability (Children),Training & education
200,DAS INTERNATIONAL SERVICES LTD.,Registered,201111119G,Not Applicable,Education,Local Educational Institutions/Funds,Training & education
