S/N,Name of Organisation,Type,UEN,IPC Period,Sector,Classification,Activities
794,THE INSTITUTE OF BANKING AND FINANCE,Registered,197402045E,Not Applicable,Others,General Charitable Purposes,Training & education
795,THE INTERNATIONAL UNION AGAINST TUBERCULOSIS AND LUNG DISEASE ASIA PACIFIC LIMITED,Registered,200919200E,Not Applicable,Health,Others,"Grantmaking Public awareness, promotion & advisory Training & education Research"
796,The Lady Superior of the Convent of the Holy Infant Jesus in Penang,Exempt Charity,T08CC4010L,Not Applicable,Religious,"Christianity,Environment",Supports other Charities Training & education
797,"THE LAW SOCIETY OF SINGAPORE PRO BONO, LEARNING AND SUPPORT SERVICES",Deregistered,T07CC2064L,Not Applicable,Others,Humanitarian Aid,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities Training & education"
798,THE LEMON TREE FOUNDATION,Registered,T09CC0006A,Not Applicable,Others,General Charitable Purposes,"Financial assistance, bursaries & scholarships Training & education"
799,THE LIBRARY FUND,Registered with IPC,T03CC1744D,From 01/9/2022 to 31/8/2025,Arts and Heritage,Historical & Cultural Conservation,Direct Services
800,THE LOKE CHENG-KIM FOUNDATION,Registered,196800139G,Not Applicable,Education,Foundations & Trusts,"Financial assistance, bursaries & scholarships"
801,THE MAJURITY TRUST LIMITED,Registered with IPC,201734370C,From 14/4/2022 to 13/4/2024,Others,General Charitable Purposes,"Direct Services Grantmaking Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities Training & education Research"
802,THE MOH FAMILY FOUNDATION LIMITED,Registered,202101573D,Not Applicable,Others,"Children/Youth,General Charitable Purposes,Humanitarian Aid,Self-Help Groups",Grantmaking Supports other Charities Research
803,THE MORAL CHILDCARE CENTRE,Registered,S91CC0828B,Not Applicable,Social and Welfare,Children/Youth,
804,THE NECESSARY STAGE LTD,Registered with IPC,199202435N,From 01/10/2022 to 30/9/2024,Arts and Heritage,Theatre & Dramatic Arts,Direct Services
805,THE OPERATION HOPE FOUNDATION LIMITED,Registered,200104386W,Not Applicable,Others,"General Charitable Purposes,Humanitarian Aid","Direct Services Financial assistance, bursaries & scholarships Training & education"
806,THE ORDER OF FRIARS MINOR (SINGAPORE) LTD.,Registered,201016236M,Not Applicable,Religious,Christianity,Training & education
807,THE PEOPLES PRESBYTERIAN CHURCH,Registered,T12SS0056L,Not Applicable,Religious,Christianity,Direct Services
808,The Presbyterian Church in Singapore,Registered,S61SS0155A,Not Applicable,Religious,Christianity,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities Training & education Research"
809,THE RED PENCIL (SINGAPORE),Registered with IPC,201113675E,From 03/5/2022 to 02/11/2024,Social and Welfare,"Community,Disability (Adult),Disability (Children),Eldercare,Family,Support Groups","Direct Services Research Financial assistance, bursaries & scholarships Supports other Charities Training & education Public awareness, promotion & advisory"
810,THE RICE COMPANY LIMITED,Registered with IPC,201408699H,From 01/2/2023 to 31/1/2024,Arts and Heritage,"Music & Orchestras,Others,Professional, Contemporary & Ethnic Dance,Theatre & Dramatic Arts,Training & Education,Visual Arts",Training & education
811,THE SILENT FOUNDATION LTD.,Registered,201014929C,Not Applicable,Others,"Animal Welfare,Environment,General Charitable Purposes",Grantmaking
812,THE SINGAPORE CHESHIRE HOME,Registered with IPC,195700160W,From 01/11/2021 to 31/7/2024,Social and Welfare,Disability (Adult),Direct Services
813,THE SINGAPORE LYRIC OPERA LIMITED,Registered with IPC,199002445Z,From 06/6/2022 to 05/6/2023,Arts and Heritage,Theatre & Dramatic Arts,"Public awareness, promotion & advisory Training & education"
814,THE SIR MANASSEH MEYER SYNAGOGUE AND SCHOOL TRUST,Registered,S88CC0570H,Not Applicable,Religious,Others,
815,THE SMILE MISSION LTD.,Registered,200720373E,Not Applicable,Health,Others,"Direct Services Training & education Public awareness, promotion & advisory"
816,The Stephen A. Schwarzman Scholars Trust,Registered,T14CC0002F,From 09/6/2019 to 08/6/2022,Education,"Foreign Educational Institutions/Funds,Foundations & Trusts",Training & education
817,THE SUBSTATION LTD,Registered with IPC,199506857R,From 01/7/2022 to 30/6/2023,Arts and Heritage,"Others,Theatre & Dramatic Arts,Training & Education,Visual Arts",Research
818,THE TABERNACLE CHURCH AND MISSIONS LIMITED,Registered,197700359D,Not Applicable,Religious,Christianity,"Financial assistance, bursaries & scholarships Supports other Charities Training & education"
819,THE TAN CHIN TUAN FOUNDATION,Registered,197600749E,Not Applicable,Others,General Charitable Purposes,
820,THE TENG COMPANY LTD.,Registered with IPC,201502077Z,From 01/1/2023 to 31/12/2025,Arts and Heritage,Music & Orchestras,"Direct Services Financial assistance, bursaries & scholarships Training & education Research"
821,THE THEATRE PRACTICE LTD.,Registered with IPC,198801755D,From 01/10/2021 to 30/9/2024,Arts and Heritage,Theatre & Dramatic Arts,Research Training & education
822,THE UWCSEA FOUNDATION LIMITED,Registered,200404580M,Not Applicable,Education,Foreign Educational Institutions/Funds,Training & education
823,The Visitor in the Straits Settlements of the Christian Brothers' Schools,Exempt Charity,T08CC4004A,Not Applicable,Religious,"Christianity,Environment",Supports other Charities Training & education
824,THE WAN BOO SOW CHARITY FUND LIMITED,Registered with IPC,200509963D,From 11/6/2021 to 10/12/2023,Social and Welfare,Community,"Financial assistance, bursaries & scholarships Supports other Charities Training & education"
825,THE ZION GOSPEL MISSION LIMITED,Registered,197201822Z,Not Applicable,Religious,Christianity,
826,THEATREWORKS (SINGAPORE) LTD.,Registered with IPC,199001149D,From 01/1/2023 to 30/6/2024,Arts and Heritage,Theatre & Dramatic Arts,
827,THOMSON SHIN MIN FOUNDATION,Registered,199302864D,Not Applicable,Education,Foundations & Trusts,"Financial assistance, bursaries & scholarships Supports other Charities"
828,Thong Kheng Welfare Services Society,Registered,T01SS0095E,From 07/9/2022 to 06/3/2023,Social and Welfare,Disability (Adult),"Direct Services Financial assistance, bursaries & scholarships"
829,Thong Teck Home For Senior Citizens,Registered with IPC,T00SS0072B,From 29/5/2022 to 28/5/2025,Health,Nursing Home,
830,Thye Hua Kwan Moral Society,Registered,S78SS0031K,Not Applicable,Religious,Others,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities"
831,THYE HUA KWAN NURSING HOME LIMITED,Registered with IPC,201323219Z,From 29/6/2022 to 28/6/2025,Health,Nursing Home,Direct Services
832,Ti-Sarana Buddhist Association,Registered,S77SS0035L,Not Applicable,Religious,Buddhism,
833,TOA PAYOH CENTRAL CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T07CC2029D,From 01/10/2020 to 30/9/2023,Community,Central,"Financial assistance, bursaries & scholarships Supports other Charities"
834,TOA PAYOH CHINESE METHODIST CHURCH,Registered,S87CC0496J,Not Applicable,Religious,Christianity,Direct Services
835,TOA PAYOH METHODIST CHURCH (TRAC),Registered,S87CC0509J,Not Applicable,Religious,Christianity,"Direct Services Financial assistance, bursaries & scholarships Supports other Charities"
836,Toa Payoh Seu Teck Sean Tong,Registered,S69SS0015H,Not Applicable,Religious,Buddhism,Direct Services
837,Toa Payoh West-Thomson CCC Community Development and Welfare Fund,Registered with IPC,T07CC2047L,From 01/1/2021 to 31/12/2023,Community,Central,"Financial assistance, bursaries & scholarships"
838,TONG SIAN TNG TEMPLE,Registered,S88CC0593F,Not Applicable,Religious,Buddhism,
839,Tong Whye Temple,Registered,S80SS0033J,Not Applicable,Religious,Taoism,"Financial assistance, bursaries & scholarships"
840,TOUCH FAMILY SERVICES LIMITED,Registered,200703355N,Not Applicable,Social and Welfare,"Community,Family",Direct Services Training & education
841,TOY FACTORY PRODUCTIONS LTD.,Registered with IPC,200613422M,From 28/6/2022 to 27/6/2024,Arts and Heritage,Theatre & Dramatic Arts,Direct Services
842,TP HEALTHCARE LTD.,Deregistered,200312163D,Not Applicable,Health,,
843,TRAILBLAZER FOUNDATION LTD.,Registered with IPC,200208130H,From 15/10/2022 to 14/10/2025,Others,General Charitable Purposes,"Financial assistance, bursaries & scholarships Supports other Charities"
844,Trans Family Services,Registered with IPC,S88SS0005D,From 01/8/2021 to 30/4/2024,Social and Welfare,Family,Direct Services
845,TRANSIENT WORKERS COUNT TOO (TWC2),Registered,T04SS0088C,Not Applicable,Social and Welfare,Community,"Direct Services Public awareness, promotion & advisory Research"
846,TRINITY METHODIST CHURCH,Registered,S87CC0538F,Not Applicable,Religious,Christianity,"Financial assistance, bursaries & scholarships"
847,TRINITY THEOLOGICAL COLLEGE,Registered,T01CC1488C,Not Applicable,Religious,Christianity,Training & education
848,TRUE BUDDHA SHI CHENG ASSOCIATION,Registered,S89SS0046C,Not Applicable,Religious,Buddhism,"Public awareness, promotion & advisory Training & education"
849,TRUE GRACE PRESBYTERIAN CHURCH,Registered,T12SS0075C,Not Applicable,Religious,Christianity,"Direct Services Financial assistance, bursaries & scholarships Training & education"
850,True Jesus Church (Telok Kurau),Registered,S61SS0030J,Not Applicable,Religious,Christianity,Direct Services
851,True Jesus Church Co-ordination Board (Singapore),Registered,T00SS0136A,Not Applicable,Religious,Christianity,Direct Services
852,True Life Bible-Presbyterian Church,Registered,T04SS0101D,Not Applicable,Religious,Christianity,
853,TRUE WAY PRESBYTERIAN CHURCH - ENGLISH CONGREGATION,Registered,T12SS0173B,Not Applicable,Religious,Christianity,Direct Services
854,TRYBE LIMITED,Registered with IPC,199507763G,From 01/9/2022 to 31/8/2025,Social and Welfare,"Children/Youth,Community,Family",Direct Services
