S/N,Name of Organisation,Type,UEN,IPC Period,Sector,Classification,Activities
376,MARYMOUNT CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T05CC1908D,From 01/1/2021 to 31/12/2023,Community,Central,"Public awareness, promotion & advisory Financial assistance, bursaries & scholarships"
377,MARYMOUNT CENTRE,Deregistered,S84CC0054G,Not Applicable,Social and Welfare,"Children/Youth,Family","Direct Services Public awareness, promotion & advisory"
378,MDIS EDUCATION TRUST FUND,Registered,T02CC1562B,Not Applicable,Education,Local Educational Institutions/Funds,Training & education
379,"Mennonite Church (Singapore), The",Registered,S92SS0030A,Not Applicable,Religious,Christianity,
380,Meow Im Kok Yuen Temple,Registered,S94SS0006E,Not Applicable,Religious,Buddhism,
381,MERCY CENTRE LTD.,Registered,201227952W,Not Applicable,Social and Welfare,"Children/Youth,Community,Family",Direct Services Training & education
382,MERCYLIGHT ANIMAL RESCUE AND SANCTUARY LIMITED,Registered with IPC,201502278Z,From 24/1/2022 to 23/7/2023,Others,Animal Welfare,"Direct Services Public awareness, promotion & advisory Training & education"
383,Migrant Workers' Assistance Fund,Registered with IPC,T12CC0003C,From 21/3/2022 to 20/3/2025,Social and Welfare,Community,
384,MINDSET CARE LIMITED,Registered,201111547C,Not Applicable,Health,Diseases/Illnessess Support Group,"Public awareness, promotion & advisory Supports other Charities"
385,MORAL SENIORS ACTIVITY CENTRE (KAKI BUKIT),Registered,T00CC1436C,Not Applicable,Health,Others; Active Ageing,Direct Services
386,MORIAH ASSEMBLY OF GOD LTD.,Registered,198003337E,Not Applicable,Religious,Christianity,"Public awareness, promotion & advisory Supports other Charities Training & education"
387,Motor Sports Singapore,Registered,S69SS0025B,Not Applicable,Sports,NSAs,"Public awareness, promotion & advisory"
388,Mount Calvary Baptist Church,Registered,S94SS0032C,Not Applicable,Religious,Christianity,Direct Services Training & education
389,MRS LIM CHUAN HOE SCHOLARSHIP FUND,Registered,T02CC1635K,Not Applicable,Education,Foundations & Trusts,
390,MRS PIROSKA RAJARATNAM MEMORIAL TRUST FUND,Registered,S90CC0767H,Not Applicable,Others,General Charitable Purposes,Direct Services
391,MUHAMMADIYAH HEALTH & DAY CARE CENTER,Registered with IPC,T13CC0002A,Not Applicable,Health,,"Direct Services Training & education Public awareness, promotion & advisory"
392,Mun San Fook Tuck Chee,Registered,S83SS0007D,Not Applicable,Religious,Taoism,"Direct Services Research Financial assistance, bursaries & scholarships Supports other Charities Training & education Public awareness, promotion & advisory"
393,MUSICAL THEATRE LTD.,Registered with IPC,200614780G,From 14/11/2022 to 13/11/2024,Arts and Heritage,Theatre & Dramatic Arts,"Direct Services Public awareness, promotion & advisory Training & education"
394,Muslim Kidney Action Association (MKAC Association),Registered,T04SS0068D,Not Applicable,Health,Diseases/Illnessess Support Group,"Direct Services Public awareness, promotion & advisory"
395,My Community,Registered,T10SS0125C,From 13/6/2021 to 12/9/2021,Arts and Heritage,Historical & Cultural Conservation,"Direct Services Public awareness, promotion & advisory Training & education Research"
396,MY COMMUNITY LIMITED,Registered with IPC,202000632R,From 01/6/2022 to 31/5/2023,Arts and Heritage,Historical & Cultural Conservation,"Public awareness, promotion & advisory Training & education Research"
397,N.R. MISTRI DECEASED RE: MISTRI BOMBAY TRUST,Registered,S84CC0126H,Not Applicable,Others,General Charitable Purposes,
398,N.R. MISTRI DECEASED RE: MISTRI SINGAPORE TRUST,Registered,S84CC0125A,Not Applicable,Social and Welfare,Community,
399,NADI SINGAPURA LTD.,Registered,201316976R,Not Applicable,Arts and Heritage,"Music & Orchestras,Theatre & Dramatic Arts,Traditional Ethnic Performing Arts,Training & Education","Public awareness, promotion & advisory Training & education"
400,NANYANG CITIZEN'S CONSULTATIVE COMMITTEE WELFARE AND EDUCATION FUND,Registered with IPC,T07CC2021C,From 01/6/2020 to 30/6/2023,Community,South West,"Financial assistance, bursaries & scholarships"
401,National Arthritis Foundation,Registered with IPC,S84SS0010J,From 05/12/2022 to 04/12/2025,Health,Diseases/Illnessess Support Group,"Financial assistance, bursaries & scholarships Public awareness, promotion & advisory"
402,National Arts Council,Exempt Charity,T08GB0033C,Not Applicable,Arts and Heritage,"Literary Arts,Music & Orchestras,Professional, Contemporary & Ethnic Dance,Theatre & Dramatic Arts,Traditional Ethnic Performing Arts,Visual Arts","Public awareness, promotion & advisory"
403,National Council of Churches of Singapore (NCCS),Registered,S61SS0118B,Not Applicable,Religious,Christianity,
404,NATIONAL SKIN CENTRE HEALTH ENDOWMENT FUND,Deregistered,T00CC1423K,From 01/1/2020 to 31/12/2021,Health,,Research
405,NATIONAL SKIN CENTRE HEALTH FUND,Registered with IPC,202010012C,From 30/9/2021 to 29/9/2024,Health,Others,"Financial assistance, bursaries & scholarships Training & education Research"
406,Nature Society (Singapore),Registered with IPC,S61SS0142H,From 01/9/2022 to 31/8/2024,Others,Environment,"Public awareness, promotion & advisory Training & education Research"
407,Nazareth Bible-Presbyterian Church,Registered,S86SS0057L,Not Applicable,Religious,Christianity,
408,NEE SOON EAST CCC COMMUNITY DEVELOPMENT AND WELFARE FUND,Registered with IPC,T07CC2014H,From 01/10/2021 to 30/9/2024,Community,North West,"Financial assistance, bursaries & scholarships"
409,Neighbour Ring Community Services,Registered with IPC,T03SS0118J,From 01/5/2023 to 30/11/2025,Social and Welfare,Community,Direct Services
410,NEIGHBOURHOOD BAPTIST CHURCH LTD,Registered,198003640E,Not Applicable,Religious,Christianity,Direct Services
411,NEIGHBOURHOOD CHURCH,Registered,S86SS0025D,Not Applicable,Religious,Christianity,Direct Services
412,NEW BEGINNING CHURCH LTD.,Registered,200504480C,Not Applicable,Religious,Christianity,"Direct Services Financial assistance, bursaries & scholarships Supports other Charities Training & education"
413,"New Church, The",Registered,T04SS0127A,Not Applicable,Religious,Christianity,"Financial assistance, bursaries & scholarships Supports other Charities Training & education"
414,"NEW COMMUNITY FAMILY CENTRE, THE",Registered,T05SS0136D,Not Applicable,Social and Welfare,Community,"Direct Services Public awareness, promotion & advisory Financial assistance, bursaries & scholarships Supports other Charities"
415,New Covenant Sanctuary,Registered,S93SS0020A,Not Applicable,Religious,Christianity,Direct Services
416,NEW DESTINY FELLOWSHIP INTERNATIONAL,Registered,S98SS0046A,Not Applicable,Religious,Christianity,Direct Services
417,New Life Christian Church,Registered,S90SS0044B,Not Applicable,Religious,Christianity,Supports other Charities
418,NEW LIFE CHURCH LTD,Registered,198403049K,Not Applicable,Religious,Christianity,
419,NEW LIFE STORIES LIMITED,Registered with IPC,201411304Z,From 27/4/2023 to 26/12/2024,Social and Welfare,"Children/Youth,Community,Family,Support Groups","Direct Services Public awareness, promotion & advisory Training & education Research"
420,NEW OPERA SINGAPORE LTD.,Registered with IPC,201114924K,From 04/1/2022 to 03/1/2024,Arts and Heritage,"Music & Orchestras,Theatre & Dramatic Arts","Direct Services Public awareness, promotion & advisory"
